the_official_name,gdelt_name,cyber_news_count,cited_by_count,works_count,log_cited_by_count,log_works_count,country,match_score,prestige_tier
University of South Carolina,University Of South Carolina,27,7212300,102493,15.7912986,11.53755954,US,100,Elite (5M+)
University of South Carolina Aiken,University Of South Carolina Aiken,7,70267,1893,11.16007178,7.546446274,US,100,Low (<100K)
University of South Carolina Beaufort,University Of South Carolina Beaufort,4,113644,1773,11.64083483,7.480992163,US,100,Medium (100K-1M)
University of South Florida,University Of South Florida; University Of South Florida Cyber Florida,50,7989635,130364,15.89365576,11.77809349,US,90,Elite (5M+)
University of South Wales,University Of New South Wales; University Of South Wales,60,491244,14542,13.10469826,9.584865057,GB,95,Medium (100K-1M)
University of Southampton,University Of Southampton,11,12951912,184494,16.37675406,12.12537764,GB,100,Elite (5M+)
University of Southern California,University Of Southern California; University Of Southern California Election Cybersecurity Initiative,45,27717953,273387,17.13759092,12.51864731,US,90,Elite (5M+)
University of Southern Maine,University Of Southern Maine,7,156153,4954,11.95859798,8.508152447,US,100,Medium (100K-1M)
University of Southern Mississippi,University Of Southern Mississippi,13,933497,21080,13.7466941,9.95612744,US,100,Medium (100K-1M)
University of St Andrews,University Of St Andrews,3,4755063,79024,15.37472071,11.27751954,GB,100,High (1M-5M)
University of Strathclyde,Strathclyde University; University Of St; University Of Strathclyde,30,4462874,87368,15.31130374,11.37789581,GB,90,High (1M-5M)
University of Stuttgart,University Of Stuttgart,3,5269934,157877,15.47752859,11.96957786,DE,100,Elite (5M+)
University of Sunderland,University Of Sunderland,6,242833,8411,12.40013336,9.037414537,GB,100,Medium (100K-1M)
University of Surrey,England University Of Surrey; Surrey University; University Of Surrey; University Of Surrey Woodward,101,4132517,81438,15.23439746,11.30760955,GB,95,High (1M-5M)
University of Sussex,University Of Sussex,11,6426001,83502,15.67586313,11.33263784,GB,100,Elite (5M+)
University of Swabi,University Of Swabi,3,111002,4230,11.61731251,8.350193651,PK,100,Medium (100K-1M)
University of Tampa,University Of Tampa,11,203584,9653,12.22383889,9.175127616,US,100,Medium (100K-1M)
University of Tartu,University Of Tartu,11,4426315,49096,15.30307819,10.80155321,EE,100,High (1M-5M)
University of Tasmania,University Of Tasmania,10,4319527,75274,15.27865669,11.22890335,AU,100,High (1M-5M)
University of Technology Sydney,University Of Technology Sydney,20,5316829,98294,15.48638782,11.49572844,AU,100,Elite (5M+)
University of Tehran,University Of Tehran,8,4561620,123334,15.3331886,11.72265951,IR,100,High (1M-5M)
University of Tennessee at Chattanooga,University Of Tennessee At Chattanooga,5,328910,13264,12.70354248,9.492884267,US,100,Medium (100K-1M)
University of Tennessee at Knoxville,University Of Tennessee; University Of Tennessee At Knoxville,19,10507735,147274,16.16762231,11.90005687,US,90,Elite (5M+)
University of Toledo,University Of Toledo,6,2317656,45796,14.65606732,10.73197387,US,100,High (1M-5M)
University of Toronto,Citizen Lab At University Of Toronto; University Of Toronto; University Of Toronto Citizenlab; University Of Toronto On,79,58141202,552156,17.87838514,13.22158771,CA,90,Elite (5M+)
University of Trento,University Of Trento,3,4035756,61554,15.21070445,11.02768636,IT,100,High (1M-5M)
University of Trinidad and Tobago,University Of Trinidad,3,37807,2566,10.540276,7.850493181,TT,90,Low (<100K)
University of Tulsa,University Of Tulsa; University Of Tulsa School Of Cyber,35,691989,18698,13.44732678,9.836225325,US,90,Medium (100K-1M)
University of Turin,University Of Turin,8,11650994,143302,16.27090214,11.87271655,IT,100,Elite (5M+)
University of Turku,University Of Turku,3,6480013,91883,15.68423323,11.42828219,FI,100,Elite (5M+)
University of Twente,University Of Twente; University Twente,18,5875100,89085,15.58623381,11.39735747,NL,95,Elite (5M+)
University of Udine,University Of Udine,13,3767488,40522,15.14191929,10.60962499,IT,100,High (1M-5M)
University of Ulster,Ulster University,23,3532629,61605,15.07755319,11.02851455,GB,95,High (1M-5M)
University of Utah,University Of Utah; University Of Utah Health,44,20458432,220543,16.83390573,12.3038525,US,95,Elite (5M+)
University of Uyo,University Of Uyo,4,134954,11970,11.81269667,9.390242337,NG,100,Medium (100K-1M)
University of Vermont,University Of Vermont,25,5193692,64524,15.46295556,11.07480802,US,100,Elite (5M+)
University of Victoria,University Of Victoria,6,5833191,75301,15.57907492,11.22926197,CA,100,Elite (5M+)
University of Vienna,University Vienna,7,10340739,167313,16.15160199,12.02762757,AT,95,Elite (5M+)
University of Virginia,University Of Virginia; University Of Virginia School Of Engineering,47,17431009,202774,16.67376136,12.21985227,US,90,Elite (5M+)
University of Waikato,University Of Waikato,12,1396161,30709,14.1492376,10.33234361,NZ,100,High (1M-5M)
University of Wales,University Of Naples; Wales University,9,3582542,49182,15.09158344,10.80330331,GB,92,High (1M-5M)
University of Warsaw,University Warsaw,3,4388822,108013,15.29457164,11.59001613,PL,95,High (1M-5M)
University of Warwick,University Of Warwick; Warwick University,19,9043882,139369,16.01759918,11.84488755,GB,95,Elite (5M+)
University of Washington,University Of Washington; University Of Washington Medicine,65,93970264,520351,18.35848896,13.16226078,US,95,Elite (5M+)
University of Waterloo,University Of Waterloo,46,9541455,155613,16.07115665,11.95513386,CA,100,Elite (5M+)
University of West Florida,University Of West Florida; University Of West Florida Center,48,302342,8373,12.61931741,9.032886947,US,95,Medium (100K-1M)
University of West London,University Of West London,7,164201,6106,12.00885266,8.717190933,GB,100,Medium (100K-1M)
University of Westminster,University Of Westminster,3,533215,18508,13.18668187,9.826012379,GB,100,Medium (100K-1M)
